Time,Batch_id,Ax,Ay,Az,Cu,Fx,Fy,Fz
1748336536.147939,1748336536488255500,4.4160283211767934,3.000579851680044,2.695394756920072,-2.9938657795953243,16.84163945432905,8.174077578051088,4.759666737876522
1748336536.148939,1748336536488255500,5.22476882229072,3.6762596514786217,2.3206274605548267,2.435377056184576,17.69157994323557,8.46156193731498,4.862819299905393
1748336536.149939,1748336536488255500,2.8321176793725393,2.902310251167333,2.4405652027954954,-1.0559404278695028,15.585802789391765,7.81945249794,5.153050325022126
1748336536.150939,1748336536488255500,3.1739249855037075,2.8101443525498215,2.2333445234534746,-0.1434369945371868,16.306039613025302,8.269295327616199,4.907986693929868
1748336536.151939,1748336536488255500,4.66933194982757,3.0158391064180425,2.6316110721152377,0.8514664143803217,16.553239539780876,8.064821314127018,4.604937894833216
1748336536.152939,1748336536488255500,5.22782067323832,3.7916196172978913,2.551652577288125,0.9491256447035126,16.135135959959715,8.704489272743919,5.011749626148259
1748336536.153939,1748336536488255500,5.685598315378277,3.487655262916959,2.3310037537766655,3.100680562761315,16.64326914273507,7.947019867549669,5.098422193060091
1748336536.154939,1748336536488255500,5.2781762138737145,3.8648640400402843,2.8495132297738577,-1.3183996093630788,18.285164952543717,8.409680471205787,4.821924497207556
1748336536.155939,1748336536488255500,3.8605914487136452,3.872188482314524,2.271492660298471,-0.9155552842799158,16.441846980193485,7.798089541306803,4.99801629688406
1748336536.156939,1748336536488255500,3.0259102145451218,3.979003265480514,2.4286629840998564,-2.1149327066866057,16.162602618488112,8.402966399121066,5.011749626148259
1748336536.157939,1748336536488255500,5.20950956755272,3.4699545274208807,2.39234595782342,2.633747367778558,17.60307626575518,8.271126438184758,4.876857814264351
1748336536.158939,1748336536488255500,5.2934354686117135,3.0298776207770013,2.634357737968078,3.3631397442548905,16.556291390728475,8.60194708090457,4.972685934018982
1748336536.159939,1748336536488255500,4.174932096316416,3.0939664906765953,2.416150395214698,1.162755211035493,16.704306161687065,8.69411297952208,4.9229407635731075
1748336536.160939,1748336536488255500,5.375835444196905,3.338724936674093,2.3883785515915403,3.729361857966857,17.429120761741995,8.331553086947233,4.656208990752892
1748336536.161939,1748336536488255500,4.664754173406171,3.1128879665517135,2.8623310037537766,2.050843836787011,15.910824915311137,8.838770714438306,5.038911099581896
1748336536.162939,1748336536488255500,4.461806085390789,3.032319101535081,2.878505813776055,-0.2685628833887753,17.564928128910186,7.9476302377391885,5.154881435590686
1748336536.163939,1748336536488255500,4.957731864375744,3.1897946104312265,2.411267433698538,2.902310251167333,17.995239112521745,8.344981231116673,4.727011932737205
1748336536.164939,1748336536488255500,5.4383983886227,3.4589678640095216,2.478102969450972,1.0589922788171027,17.27805413983581,8.604388561662649,5.0926236762596515
1748336536.165939,1748336536488255500,4.698324533829768,3.1318094424268317,2.5366985076448865,2.4262215033417767,18.105105746635335,7.838373973815119,4.954374828333385
1748336536.166939,1748336536488255500,4.580828272347179,3.121433149204993,2.891628772850734,2.1332438123722035,18.393505661183507,8.46705526902066,4.857020783104953
1748336536.167939,1748336536488255500,4.457228308969389,4.02417065950499,2.5180822168645283,1.0467848750267037,17.026276436658833,8.14477980895413,5.244605853450118
1748336536.168939,1748336536488255500,5.580309457686087,3.7006744590594196,2.4512466811120945,0.0640888698995941,17.970824304940948,8.836329233680226,4.8988311410870695
1748336536.169939,1748336536488255500,6.064027832880642,3.064668721579638,2.93618579668569,1.3458662678914761,17.432172612689595,7.900631733146153,4.984282967619861
1748336536.170939,1748336536488255500,5.952635273293252,3.795892208624531,2.7399517807550278,-0.4364146855067599,16.336558122501298,8.861964781640065,4.744712668233284
1748336536.171939,1748336536488255500,5.684072389904477,3.4327219458601643,2.915738395336772,-0.8789330729087191,16.62953581347087,8.26563310647908,4.759971922971282
1748336536.172939,1748336536488255500,5.987731559190649,3.9173558763389997,2.71736808374279,2.920621356852932,18.04254280220954,8.176519058809168,4.767906735435042
1748336536.173939,1748336536488255500,3.6973174230170596,4.047364726706748,2.8745384075441756,-1.4069032868434705,16.460158085879087,8.022705771050141,5.018463698232979
1748336536.174939,1748336536488255500,3.8865321817682426,3.6371959593493455,2.8202154606769003,-1.269569994201483,17.91589098788415,8.547013763847774,4.735862300485245
1748336536.175939,1748336536488255500,4.1810357982116155,3.9393292031617175,2.5489059114352854,1.3245033112582782,17.19565416425062,8.185064241462447,5.043488876003296
1748336536.176939,1748336536488255500,5.491805780205695,3.3082064271980958,2.6828821680349133,1.9623401593066194,18.803979613635672,8.751487777336955,5.256813257240516
1748336536.177939,1748336536488255500,4.643391216772973,3.3417767876216926,2.9834894863734855,-0.033570360423596915,17.31620227668081,9.12564470351268,4.765770439771721
1748336536.178939,1748336536488255500,3.9490951261940364,3.665272988067263,2.9511398663289286,2.639851069673757,16.116824854274117,9.01211584826197,4.88631855220191
1748336536.179939,1748336536488255500,6.002990813928648,3.6445204016235846,2.519302957243568,0.31128879665517134,17.883846552934354,8.674581133457442,4.988555558946501
1748336536.180939,1748336536488255500,5.5207983642078915,3.9252906888027588,2.916653950621052,1.8066957609790337,18.514053773613696,8.710592974639118,5.155186620685446
1748336536.181939,1748336536488255500,4.8829615161595505,3.3967101046784873,2.8525650807214578,2.465895565660573,17.72209845271157,9.057893612475967,4.873805963316752
1748336536.182939,1748336536488255500,5.601672414319284,4.02600177007355,2.7665028839991455,0.2655110324411756,17.139194921720023,8.57570116275521,4.78133487960448
1748336536.183939,1748336536488255500,5.65355388042848,3.944212164677877,2.8360850856044193,3.637806329538865,18.526261177404095,8.172246467482529,5.0840784936063725
